DATE  OF OCCURRENCE,WARD,LONGITUDE,LATITUDE
03/24/2011,17,-87.64422967746158,41.75206920571599
06/27/2011,21,-87.63757174702792,41.72142726709559
11/10/2010,22,-87.72542368717909,41.84435134664086
11/10/2010,20,-87.6109889257429,41.78191231720833
11/10/2010,10,-87.53663581381188,41.71172377389568
11/10/2010,21,-87.6271540153487,41.73615008153009
11/10/2010,20,-87.64946535808143,41.800504332590855
11/10/2010,38,-87.77207282750891,41.943878288275
11/10/2010,27,-87.6572457163412,41.88019714560565
11/10/2010,33,-87.70077794772139,41.96172097543565
11/10/2010,26,-87.69830441031829,41.89938052115021
11/11/2010,24,-87.70460853826624,41.85920374549316
11/11/2010,44,-87.64942313155449,41.94017811243721
11/11/2010,2,-87.68649263138964,41.87778052327794
11/11/2010,24,-87.7372869185298,41.87500926774391
11/11/2010,21,-87.62528906500992,41.72180779695247
11/10/2010,15,-87.67008727686374,41.77709022828088
11/11/2010,21,-87.65335209916478,41.74157718329652
11/11/2010,6,-87.60935728638005,41.74213717859668
11/11/2010,18,-87.67290782966595,41.74694385921944
11/11/2010,24,-87.7199703738254,41.86006343881757
11/11/2010,7,-87.57000183475398,41.717534945037876
11/11/2010,30,-87.75031373773169,41.94049874829823
11/11/2010,26,-87.7164274829401,41.91087887007612
11/11/2010,20,-87.62579910740587,41.787465617327925
11/11/2010,20,-87.61570373041113,41.777334203910144
11/11/2010,15,-87.69321832230514,41.77810235709519
11/11/2010,20,-87.6235203322786,41.78728690274406
11/11/2010,10,-87.5514352754794,41.73141432730879
11/11/2010,20,-87.60607289695918,41.780226495670796
11/11/2010,17,-87.6418727342335,41.755529333479984
11/11/2010,26,-87.68725718341831,41.90613009133916
11/11/2010,3,-87.6663782985806,41.8102224768141
11/11/2010,24,-87.7021068878861,41.851917736981044
11/11/2010,49,-87.67398115915822,42.02128658865209
11/11/2010,6,-87.61628683292983,41.76579809164727
11/11/2010,31,-87.73849564484897,41.931527637518826
11/11/2010,7,-87.56286055111781,41.757897181442125
11/11/2010,8,-87.58578569059664,41.736426272026236
11/11/2010,9,-87.61233208018929,41.65203214868775
11/11/2010,15,-87.66450727516417,41.78520842567981
11/11/2010,9,-87.61725572888564,41.70632121361354
11/11/2010,46,-87.66353326270165,41.972503005768004
11/11/2010,14,-87.70834223145118,41.794656870418905
11/11/2010,17,-87.64566614184142,41.761007771963826
11/11/2010,2,-87.68649976213622,41.877437532484926
11/11/2010,15,-87.66762685677351,41.77500131090343
11/11/2010,21,-87.66435833165328,41.74449587348374
11/11/2010,30,-87.72988691121813,41.94263248998182
11/11/2010,16,-87.64383680057992,41.78329145945258
11/11/2010,42,-87.62440390564494,41.89501832292731
11/11/2010,40,-87.711220053302,41.98476622885094
11/11/2010,42,-87.62409905296389,41.88937428954211
11/12/2010,49,-87.66084720576659,42.00585120504443
11/12/2010,24,-87.72508149964298,41.85451703035906
11/12/2010,30,-87.77609088399703,41.938338065068706
11/12/2010,7,-87.563345906568,41.753473884239895
11/12/2010,22,-87.71115560614872,41.85030134509372
11/12/2010,17,-87.63418991514897,41.76001368037143
11/12/2010,2,-87.62614225534539,41.8742770946007
11/12/2010,9,-87.61400294288526,41.65675740812212
11/12/2010,20,-87.62093182725248,41.79223254711121
11/12/2010,49,-87.68937956806612,42.01942015400485
11/12/2010,21,-87.65678693598196,41.72293063186194
11/12/2010,8,-87.5860102146833,41.74644993565536
11/12/2010,12,-87.69268907056488,41.820210462883374
11/11/2010,28,-87.7599900991703,41.88071489546961
11/12/2010,40,-87.67370640237371,41.99089040512292
11/12/2010,9,-87.61721628224393,41.65572913282922
11/12/2010,4,-87.59357275270646,41.80076448014603
11/12/2010,16,-87.67296019813062,41.7947333541555
11/11/2010,9,-87.61933213543381,41.68745589648965
11/12/2010,4,-87.59490146602401,41.798116567397486
11/12/2010,45,-87.75753831742698,41.96068873614088
11/12/2010,32,-87.67770293392377,41.92400673278258
11/12/2010,36,-87.78569837488106,41.92632066866794
11/12/2010,20,-87.61573416980681,41.778550114614454
11/12/2010,6,-87.64436722948474,41.769018829649035
11/12/2010,26,-87.7072459936121,41.92108162192083
11/12/2010,13,-87.74138515773002,41.754641620170695
11/12/2010,12,-87.68888123433813,41.80847658486435
11/12/2010,27,-87.66027407669984,41.89569794287368
11/12/2010,15,-87.66579903826657,41.78828405443737
